sample,DMA1,DMA2,DMA3,DMA4,BI1,BI2,BI3,BI4,HS1,HS2,HS3,HS4
SLC25A13,10.52740644,10.36888709,9.223767398,9.326561447,14.7028965,12.8767661,12.39479977,10.38349738,15.18795657,13.01164987,12.66783014,14.84831343
ATP5MG,336.9511485,359.8829002,276.1016424,385.4085247,459.5617221,360.4298485,466.0277987,433.7568385,380.9141474,431.6907476,391.4798493,440.8891927
COX6B1,274.3007546,276.78259,316.087737,252.1242468,408.8400894,335.2828686,416.678323,310.0556527,335.1374428,309.8256094,372.4440976,337.8376867
DECR1,145.0486042,155.7374363,182.2903468,165.375044,219.5292508,272.4440313,246.1084123,225.3367321,234.8029979,250.3547886,208.7551933,228.1303333
ALDH3A2,7.936256714,5.403891858,6.701609281,10.99386524,3.341146289,4.228408689,5.744747381,3.258858716,2.495467763,3.3051406,3.493798884,4.536844489
NDUFS8,12.60010908,12.90790535,13.85383289,18.53551158,20.81963942,20.94887328,25.16489308,22.13651985,17.18383907,20.44507366,28.93293703,27.38546405
PRKACA,6.837832869,6.623667218,4.95130632,4.765836132,8.187642607,10.43785906,19.14142214,14.58647645,7.024008961,9.94463496,11.44521081,10.23812999
SDHA,53.92429999,62.05187589,64.13422563,59.55978909,85.91784666,67.5147147,79.5864467,72.29014891,74.19802367,70.26549912,70.73065434,75.71997675
SUCLG1,63.67288979,49.81380562,71.67453236,72.60191954,79.22254792,78.74814932,89.69978181,92.75452976,74.25997372,81.55839368,94.51075243,100.1021235
NDUFAF2,12.7977073,12.85540898,13.38211263,14.63375548,16.73714671,17.45234934,16.44306928,16.60796753,19.33295379,20.70760756,20.05090198,22.33074271
COX5A,345.8688859,353.8660815,397.1385088,318.0573075,483.1817245,473.7114371,624.2798557,474.3144995,453.8005574,439.457937,525.9003274,393.8193573
ACADS,10.73831505,14.48359223,15.1165103,10.4153367,20.86500034,13.12834262,18.23002676,21.49732714,14.91505268,19.22554243,18.96289116,23.28062632
